,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
346,기흥구,중동 ,분양,백현마을 상록롯데캐슬,295,2007.02.06.,"기흥구 동백5로 79 (중동, 백현마을롯데캐슬아파트)",경기 용인시 기흥구 중동 878,127.157372954143,37.277304266373
347,기흥구,언남동,분양,유원 휴 하임,149,2013.10.17.,기흥구 구성로 109 (언남동),경기 용인시 기흥구 언남동 243,127.122336827301,37.2937103166225
348,기흥구,영덕동,분양,흥덕마을8단지 한국아델리움아파트,474,2010.08.06.,"기흥구 흥덕2로118번길 25 (영덕동, 흥덕마을8단지아델리움아파트)",경기 용인시 기흥구 영덕동 961,127.077078008295,37.2782697708764
349,기흥구,중동 ,분양,성산마을 신영지웰,590,2006.08.31.,"기흥구 동백5로 41 (중동, 성산마을신영지웰아파트)",경기 용인시 기흥구 중동 870,127.154890510455,37.2759193992434
350,기흥구,중동 ,분양,성산마을 남광하우스토리,134,2007.11.16.(2007.10.19.),"기흥구 동백5로 62 (중동, 성산마을 남광하우스토리)",경기 용인시 기흥구 중동 869,127.155882132901,37.2742028786892
351,기흥구,중동 ,분양,성산마을 어울림 타운하우스,24,2008.10.13.,"기흥구 동백4로 27 (중동, 성산마을어울림타운하우스)",경기 용인시 기흥구 중동 865,127.153959532344,37.2727213820416
352,기흥구,중동 ,분양,성산마을 어울림 타운하우스,24,2008.10.13.,"기흥구 동백4로 53 (중동, 성산마을 어울림타운하우스)",경기 용인시 기흥구 중동 863,127.156375662051,37.2725764816249
353,기흥구,중동 ,분양,성산마을 서해그랑블,564,2006.04.27.,"기흥구 동백4로 26 (중동, 성산마을서해그랑블아파트)",경기 용인시 기흥구 중동 860,127.155462690092,37.2715113932588
354,기흥구,중동 ,분양,참솔마을 월드메르디앙,966,2006.02.28.,"기흥구 동백죽전대로 283 (중동, 참솔마을월드메르디앙) ",경기 용인시 기흥구 중동 819,127.153954452763,37.2633044322536
355,기흥구,중동 ,분양,어정마을 서희삼정아파트,390,2003.05.17.,"기흥구 언동로 193-26 (중동, 어정마을삼정그린뷰아파트)",경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
356,기흥구,중동 ,분양,어은목마을 코아루아파트,533,2006.03.29.,"기흥구 동백2로 11 (중동, 어은목마을코아루아파트)",경기 용인시 기흥구 중동 1051,127.155014055896,37.2689745618693
357,기흥구,중동 ,분양,어은목마을 코아루아파트,592,2006.03.29.,"기흥구 동백2로 12 (중동, 어은목마을코아루아파트)",경기 용인시 기흥구 중동 1050,127.156651069468,37.2662456777001
358,기흥구,중동 ,분양,초당마을 코아루아파트,289,2006.03.29.,"기흥구 동백1로 9 (중동, 초당마을코아루아파트)",경기 용인시 기흥구 중동 1047,127.15759236242,37.2647476191309
359,기흥구,중동 ,분양,초당마을 코아루아파트,279,2006.03.29.,"기흥구 동백1로 12 (중동, 초당마을코아루아파트)",경기 용인시 기흥구 중동 1046,127.158908351542,37.2633050050851
360,기흥구,중동 ,분양,초당마을 현진에버빌,320,2006.02.27.,"기흥구 동백중앙로 73 (중동, 초당마을현진에버빌아파트)",경기 용인시 기흥구 중동 1045,127.159855265494,37.2625313576857
361,기흥구,서천동,분양,서천마을 1단지,826,2012.12.17.,"기흥구 서천서로 27 (서천동, 서천마을 1단지)",경기 용인시 기흥구 서천동 736,127.071314487412,37.2400643062814
362,기흥구,서천동,분양,서천마을 4단지,556,2012.12.17.,"기흥구 서천동로 60 (서천동, 서천마을4단지)",경기 용인시 기흥구 서천동 823,127.075095831711,37.2355510623789
363,기흥구,영덕동,분양,흥덕마을 5단지 호반베르디움,527,2009.11.05.,"기흥구 흥덕1로79번길 37 (영덕동, 흥덕마을5단지호반베르디움아파트)",경기 용인시 기흥구 영덕동 976,127.070593415212,37.277975571288
364,기흥구,영덕동,분양,흥덕마을 자연앤스위첸,502,2009.08.13.,"기흥구 흥덕2로117번길 14 (영덕동, 흥덕마을6단지자연앤스위첸아파트)",경기 용인시 기흥구 영덕동 971,127.072420377421,37.2790005717998
365,기흥구,영덕동,분양,흥덕마을 힐스테이트,570,2010.08.19.,"기흥구 흥덕2로 126 (영덕동, 흥덕마을7단지흥덕힐스테이트아파트)",경기 용인시 기흥구 영덕동 969,127.074465492066,37.2790215586696
