,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
124050,휴맥스이브이,성복역롯데캐슬골드타운,37,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124051,휴맥스이브이,성복역롯데캐슬골드타운,38,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124052,휴맥스이브이,성복역롯데캐슬골드타운,39,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124053,휴맥스이브이,성복역롯데캐슬골드타운,40,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124054,휴맥스이브이,성복역롯데캐슬골드타운,41,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124055,휴맥스이브이,성복역롯데캐슬골드타운,42,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124056,휴맥스이브이,성복역롯데캐슬골드타운,43,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124057,휴맥스이브이,성복역롯데캐슬골드타운,44,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124058,휴맥스이브이,성복역롯데캐슬골드타운,45,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124059,휴맥스이브이,성복역롯데캐슬골드타운,46,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124060,휴맥스이브이,성복역롯데캐슬골드타운,47,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124061,휴맥스이브이,성복역롯데캐슬골드타운,48,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124062,휴맥스이브이,성복역롯데캐슬골드타운,49,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124063,휴맥스이브이,성복역롯데캐슬골드타운,50,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복2로 10(789 성복역롯데캐슬골드타운),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 789,127.083106430916,37.3112648289337
124064,휴맥스이브이,성복힐스테이트1차,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124065,휴맥스이브이,성복힐스테이트1차,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124066,휴맥스이브이,성복힐스테이트1차,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124067,휴맥스이브이,성복힐스테이트1차,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124068,휴맥스이브이,성복힐스테이트1차,05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124069,휴맥스이브이,성복힐스테이트1차,06,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124070,휴맥스이브이,성복힐스테이트1차,07,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124071,휴맥스이브이,성복힐스테이트1차,08,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124072,휴맥스이브이,성복힐스테이트1차,09,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124073,휴맥스이브이,성복힐스테이트1차,10,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124074,휴맥스이브이,성복힐스테이트1차,11,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124075,휴맥스이브이,성복힐스테이트1차,12,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124076,휴맥스이브이,성복힐스테이트1차,13,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124077,휴맥스이브이,성복힐스테이트1차,14,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124078,휴맥스이브이,성복힐스테이트1차,15,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124079,휴맥스이브이,성복힐스테이트1차,16,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124080,휴맥스이브이,성복힐스테이트1차,17,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124081,휴맥스이브이,성복힐스테이트1차,18,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124082,휴맥스이브이,성복힐스테이트1차,19,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124083,휴맥스이브이,성복힐스테이트1차,20,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124084,휴맥스이브이,성복힐스테이트1차,21,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124085,휴맥스이브이,성복힐스테이트1차,22,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124086,휴맥스이브이,성복힐스테이트1차,23,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124087,휴맥스이브이,성복힐스테이트1차,24,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
124088,휴맥스이브이,성복힐스테이트1차,25,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복1로 91(힐스테이트 1차),24시간 이용가능,,7kW,,경기 용인시 수지구 성복동 771,127.069715242799,37.3147348895475
125089,휴맥스이브이,양우내안애에듀퍼스트,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125090,휴맥스이브이,양우내안애에듀퍼스트,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125091,휴맥스이브이,양우내안애에듀퍼스트,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125092,휴맥스이브이,양우내안애에듀퍼스트,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125093,휴맥스이브이,양우내안애에듀퍼스트,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125094,휴맥스이브이,양우내안애에듀퍼스트,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125095,휴맥스이브이,양우내안애에듀퍼스트,07,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125096,휴맥스이브이,양우내안애에듀퍼스트,08,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125097,휴맥스이브이,양우내안애에듀퍼스트,09,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125098,휴맥스이브이,양우내안애에듀퍼스트,10,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 경안천로 196-1(1014 양우내안애에듀퍼스트),24시간 이용가능,,7kW,,경기 용인시 처인구 고림동 1014,127.221192942292,37.2491879717277
125136,휴맥스이브이,양현마을신안풍림아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 산양로 17(158 양현마을풍림신안아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 158,127.106446862302,37.2848705435733
125137,휴맥스이브이,양현마을신안풍림아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 산양로 17(158 양현마을풍림신안아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 158,127.106446862302,37.2848705435733
125138,휴맥스이브이,양현마을신안풍림아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 산양로 17(158 양현마을풍림신안아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 158,127.106446862302,37.2848705435733
125139,휴맥스이브이,양현마을신안풍림아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 산양로 17(158 양현마을풍림신안아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 158,127.106446862302,37.2848705435733
125140,휴맥스이브이,어정마을 서희삼정 아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125141,휴맥스이브이,어정마을 서희삼정 아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125142,휴맥스이브이,어정마을 서희삼정 아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125143,휴맥스이브이,어정마을 서희삼정 아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125144,휴맥스이브이,어정마을 서희삼정 아파트,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125145,휴맥스이브이,어정마을 서희삼정 아파트,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125146,휴맥스이브이,어정마을 서희삼정 아파트,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125147,휴맥스이브이,어정마을 서희삼정 아파트,08,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125148,휴맥스이브이,어정마을 서희삼정 아파트,09,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125149,휴맥스이브이,어정마을 서희삼정 아파트,10,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언동로 193-26(서희삼정 아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 중동 817,127.144622107595,37.2793066011735
125157,휴맥스이브이,에스테크 조명연구소,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 삼백로785번길 18(근삼리 437-6),24시간 이용가능,,7kW,,경기 용인시 처인구 백암면 근삼리 437-6,127.369071057936,37.141008865543
125458,휴맥스이브이,용인 더숨포레스트,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 성산로 633(전대리 473-13),24시간 이용가능,,7kW,,경기 용인시 처인구 포곡읍 전대리 473-13,127.207873495047,37.2871314681956
125459,휴맥스이브이,용인 더숨포레스트,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 포곡읍 성산로 633(전대리 473-13),24시간 이용가능,,7kW,,경기 용인시 처인구 포곡읍 전대리 473-13,127.207873495047,37.2871314681956
125460,휴맥스이브이,용인신갈푸르지오,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125461,휴맥스이브이,용인신갈푸르지오,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125462,휴맥스이브이,용인신갈푸르지오,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125463,휴맥스이브이,용인신갈푸르지오,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125464,휴맥스이브이,용인신갈푸르지오,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125465,휴맥스이브이,용인신갈푸르지오,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125466,휴맥스이브이,용인신갈푸르지오,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125467,휴맥스이브이,용인신갈푸르지오,08,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
125468,휴맥스이브이,용인한숲시티4단지,01,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125469,휴맥스이브이,용인한숲시티4단지,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125470,휴맥스이브이,용인한숲시티4단지,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125471,휴맥스이브이,용인한숲시티4단지,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125472,휴맥스이브이,용인한숲시티4단지,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125473,휴맥스이브이,용인한숲시티4단지,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125474,휴맥스이브이,용인한숲시티4단지,07,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),24시간 이용가능,,7kW,,경기 용인시 처인구 남사읍 완장리 952,127.175501302175,37.1591118282048
125614,휴맥스이브이,원대마을한신,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125615,휴맥스이브이,원대마을한신,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125616,휴맥스이브이,원대마을한신,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125617,휴맥스이브이,원대마을한신,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125618,휴맥스이브이,원대마을한신,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125619,휴맥스이브이,원대마을한신,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
125750,휴맥스이브이,유로핀즈 용인,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 신정로41번길 52-20(신갈동 400-19),24시간 이용가능,,7kW,,경기 용인시 기흥구 신갈동 400-19,127.100601653615,37.2799180489941
126155,휴맥스이브이,죽전역월드메르디앙,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),24시간 이용가능,,7kW,,경기 용인시 수지구 죽전동 1488,127.112696820131,37.3264961952767
126156,휴맥스이브이,죽전역월드메르디앙,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),24시간 이용가능,,7kW,,경기 용인시 수지구 죽전동 1488,127.112696820131,37.3264961952767
126157,휴맥스이브이,죽전역월드메르디앙,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),24시간 이용가능,,7kW,,경기 용인시 수지구 죽전동 1488,127.112696820131,37.3264961952767
126158,휴맥스이브이,죽전역월드메르디앙,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),24시간 이용가능,,7kW,,경기 용인시 수지구 죽전동 1488,127.112696820131,37.3264961952767
126159,휴맥스이브이,죽전역월드메르디앙,05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 달맞이로 13주차장(죽전역 월드메르디앙 경기도 용인시 수지구 죽전동 1488),24시간 이용가능,,7kW,,경기 용인시 수지구 죽전동 1488,127.112696820131,37.3264961952767
126781,휴맥스이브이,탑실마을대주피오레1,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126782,휴맥스이브이,탑실마을대주피오레1,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126783,휴맥스이브이,탑실마을대주피오레1,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126784,휴맥스이브이,탑실마을대주피오레1,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126785,휴맥스이브이,탑실마을대주피오레1,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126786,휴맥스이브이,탑실마을대주피오레1,06,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126787,휴맥스이브이,탑실마을대주피오레1,07,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126788,휴맥스이브이,탑실마을대주피오레1,08,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126789,휴맥스이브이,탑실마을대주피오레1,09,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126790,휴맥스이브이,탑실마을대주피오레1,10,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126791,휴맥스이브이,탑실마을대주피오레1,11,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126792,휴맥스이브이,탑실마을대주피오레1,12,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126793,휴맥스이브이,탑실마을대주피오레1,13,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126794,휴맥스이브이,탑실마을대주피오레1,14,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126795,휴맥스이브이,탑실마을대주피오레1,15,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126796,휴맥스이브이,탑실마을대주피오레1,16,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
126797,휴맥스이브이,탑실마을대주피오레1,17,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 탑실로 152(탑실마을 대주피오레2단지),24시간 이용가능,,7kW,,경기 용인시 기흥구 공세동 714,127.120931223097,37.2438517617465
